code,council,slope
C090,Busokelo District,9.94
C091,Mbarali District,2.134
C092,Iramba District,1.902
C093,Singida District,2.158
C094,Singida Municipal,1.642
C095,Manyoni District,1.481
C096,Itigi District,1.946
C097,Ikungi District,1.324
C098,Mkalama District,2.474
C099,Nzega Town,1.181
C100,Nzega District,1.063
C101,Igunga District,1.019
C102,Uyui District,1.274
C103,Urambo District,0.805
C104,Sikonge District,1.404
C105,Tabora Municipal,2.198
C106,Kaliua District,1.321
C107,Kalambo District,4.111
C108,Sumbawanga District,4.947
C109,Sumbawanga Municipal,5.92
C110,Nkasi District,5.23
C111,Kibondo District,1.452
C112,Kasulu District,2.047
C113,Kasulu Town,4.674
C114,Kigoma District,8.406
C115,Kigoma Ujiji City,2.594
C116,Uvinza District,4.822
C117,Buhigwe District,4.97
C118,Kakonko District,4.938
C119,Ushetu District,1.823
C120,Kahama Municipal,1.064
C121,Msalala District,0.979
C122,Kishapu District,0.736
C123,Shinyanga District,0.894
C124,Shinyanga Municipal,1.165
C125,Karagwe District,6.326
C126,Bukoba District,3.662
C127,Bukoba Municipal,4.858
C128,Muleba District,4.888
C129,Biharamulo District,4.243
C130,Ngara District,6.591
C131,Kyerwa District,7.941
C132,Missenyi District,2.085
C133,Ukerewe District,2.555
C134,Magu District,1.348
C135,Mwanza City,3.829
C136,Kwimba District,0.89
C137,Sengerema District,2.241
C138,Buchosa District,2.575
C139,Ilemela Municipal,2.738
C140,Misungwi District,1.95
C141,Tarime District,3.825
C142,Tarime Town,3.265
C143,Serengeti District,2.301
C144,Musoma District,2.194
C145,Musoma Municipal,2.553
C146,Bunda District,2.205
C147,Bunda Town,1.683
C148,Butiama District,3.288
C149,Rorya District,3.064
C150,Babati District,3.545
C151,Babati Town,6.893
C152,Hanang District,3.062
C153,Mbulu District,3.763
C154,Mbulu Town,8.122
C155,Simanjiro District,1.87
C156,Kiteto District,1.923
C157,Njombe District,9.304
C158,Njombe Town,8.165
C159,Makambako Town,4.325
C160,Ludewa District,10.918
C161,Makete District,12.502
C162,Wanging'Ombe District,4.721
C163,Mpanda Municipal,2.378
C164,Nsimbo District,1.481
C165,Tanganyika District,4.709
C166,Mlele District,1.265
C167,Mpimbwe District,3.211
C168,Bariadi District,1.369
C169,Bariadi Town,1.188
C170,Itilima District,1.33
C171,Meatu District,1.464
C172,Maswa District,1.083
C173,Busega District,1.466
C174,Geita District,2.471
C175,Geita Town,2.652
C176,Nyang'Hwale District,1.793
C177,Halmashuari Ya Wilaya Ya Mbogwe District,1.626
C178,Bukombe District,1.287
C179,Chato District,1.922
C180,Momba District,2.563
C181,Tunduma Town,4.222
C182,Songwe District,3.652
C183,Mbozi District,5.509
C184,Ileje District,10.014
C185,Kaskazini A Town,1.235
C186,Kaskazini B Town,1.463
C187,Kati Town,1.048
C188,Kusini District,0.648
C189,Mjini Municipal,1.05
C190,Magharibi A Municipal,2.051
C191,Magharibi B Municipal,1.077
C192,Wete Town,2.401
C193,Micheweni District,1.512
C194,Chake Chake Town,2.166
C195,Mkoani Town,2.273
