stage,dimension,category,indicator,raw_value_or_basis,source,standardisation_to_0_10,value_0_10
"1 indicator","Lack of Coping Capacity","Infrastructure","wash","water & sanitation access","NBS 2022 census water points","inverted access, 0-10","6.9"
"1 indicator","Lack of Coping Capacity","Infrastructure","communication","communication infrastructure","INFORM SADC / census ICT","standardised 0-10","5.95"
"1 indicator","Lack of Coping Capacity","Infrastructure","education","education access","NBS 2022 census schools","inverted access, 0-10","6"
"2 category = MEAN of indicators","Lack of Coping Capacity","Infrastructure","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","6.6"
"1 indicator","Lack of Coping Capacity","Institutional","drrImplementation","DRR plans/EOCC/EPRP in place","PMO-DMD / DRR Coordinator","inverted capacity, 0-10","4.5"
"1 indicator","Lack of Coping Capacity","Institutional","governance","institutional capacity","INFORM SADC","standardised 0-10","4.2"
"2 category = MEAN of indicators","Lack of Coping Capacity","Institutional","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","4.4"
"1 exposure (E)","Hazard & Exposure","Exposure","population density","pop 159,906 / area","NBS 2022 PHC council population","log min-max of (population / area)","1.81"
"3 dimension = scaled GEOMEAN of categories","Hazard & Exposure","","HAZARD & EXPOSURE total","","","sgm(Natural, Human) = (10 - GEOMEAN((10-cat)/10*9+1))/9*10","4"
"3 dimension = scaled GEOMEAN of categories","Vulnerability","","VULNERABILITY total","","","sgm(Socio-economic, Vulnerable groups)","3.8"
"3 dimension = scaled GEOMEAN of categories","Lack of Coping Capacity","","LACK OF COPING total","","","sgm(Infrastructure, Institutional)","5.6"
"4 risk = cube root of the three","Risk","","INFORM RISK","","","risk = (H x V x LCC)^(1/3)","4.4"
